 Tipo Entidad ; Cód. Entidad ; Entidad ; Cód. Provincia ; Provincia ; Cód. Municipio ; Municipio ; Nº de oficinas ;OPERACIONES;RETIRADA EFECTIVO;INCIDENCIAS ST;DIAS INACTIVIDAD
COOPERATIVAS DE CREDITO;3187;CAJA R. DEL SUR, S. COOP. CREDITO;14;Córdoba;058;RUTE ;1;706;63570;3;3
BANCOS;2100;CAIXABANK, S.A.;11;Cádiz;007;BARBATE ;1;604;54380;1;1
BANCOS;2100;CAIXABANK, S.A.;11;Cádiz;042;ZAHARA ;1;333;29930;1;3
BANCOS;0078;BANCA PUEYO, S.A.;06;Badajoz;158;ZAFRA ;1;417;37510;3;9
COOPERATIVAS DE CREDITO;3001;CAJA R. DE ALMENDRALEJO, S.C.C.;06;Badajoz;158;ZAFRA ;1;502;45190;1;1
COOPERATIVAS DE CREDITO;3081;EUROCAJA RURAL, S.C.C.;45;Toledo;205;YUNCOS ;1;519;46660;4;0
BANCOS;2103;UNICAJA BANCO, S.A.;45;Toledo;200;YEBENES (LOS) ;1;385;34640;2;6
BANCOS;2080;ABANCA CORPORACION BANCARIA, S.A.;15;A Coruña;054;NARON ;1;578;51990;2;6
BANCOS;0049;BANCO SANTANDER, S.A.;15;A Coruña;054;NARON ;1;627;56400;2;0
BANCOS;0081;BANCO DE SABADELL, S.A.;46;Valencia;145;XÀTIVA ;1;314;28270;0;0
BANCOS;0049;BANCO SANTANDER, S.A.;46;Valencia;145;XÀTIVA ;1;413;37130;1;3
COOPERATIVAS DE CREDITO;3058;CAJAMAR CAJA RURAL, S.C.C.;46;Valencia;145;XÀTIVA ;1;605;54430;0;0
COOPERATIVAS DE CREDITO;3159;CAIXA POPULAR-CAIXA RURAL, S.C.C.V.;46;Valencia;145;XÀTIVA ;1;386;34720;0;0
BANCOS;2080;ABANCA CORPORACION BANCARIA, S.A.;15;A Coruña;047;MESIA ;1;600;53980;3;6
BANCOS;0049;BANCO SANTANDER, S.A.;28;Madrid;176;VILLANUEVA DE LA CAÑADA ;1;576;51810;0;0
COOPERATIVAS DE CREDITO;3190;C.R. ALBACETE, C. REAL Y CUENCA,SCC;13;Ciudad Real;094;VILLANUEVA DE SAN CARLOS ;1;544;48940;1;3
COOPERATIVAS DE CREDITO;3190;C.R. ALBACETE, C. REAL Y CUENCA,SCC;13;Ciudad Real;092;VILLANUEVA DE LA FUENTE ;1;522;46990;4;12
COOPERATIVAS DE CREDITO;3190;C.R. ALBACETE, C. REAL Y CUENCA,SCC;13;Ciudad Real;093;VILLANUEVA DE LOS INFANTES ;1;638;57420;4;12
BANCOS;2095;KUTXABANK, S.A;01;Alava;059;VITORIA-GASTEIZ ;1;409;36840;1;0
COOPERATIVAS DE CREDITO;3058;CAJAMAR CAJA RURAL, S.C.C.;01;Alava;059;VITORIA-GASTEIZ ;1;585;52640;1;2
COOPERATIVAS DE CREDITO;3008;CAJA R. DE NAVARRA, S.C.C.;01;Alava;059;VITORIA-GASTEIZ ;1;422;37940;3;6
BANCOS;0061;BANCA MARCH, S.A.;01;Alava;059;VITORIA-GASTEIZ ;1;444;39990;2;2
BANCOS;2085;IBERCAJA BANCO, S.A.;01;Alava;059;VITORIA-GASTEIZ ;1;704;63390;1;1
BANCOS;0081;BANCO DE SABADELL, S.A.;01;Alava;059;VITORIA-GASTEIZ ;3;2.093;188340;6;0
BANCOS;0083;RENTA 4 BANCO, S.A.;01;Alava;059;VITORIA-GASTEIZ ;1;403;36300;0;0
BANCOS;0200;ANDBANK ESPAÑA BANCA PRIVADA, S.A.;01;Alava;059;VITORIA-GASTEIZ ;1;435;39100;0;0
COOPERATIVAS DE CREDITO;3190;C.R. ALBACETE, C. REAL Y CUENCA,SCC;13;Ciudad Real;098;VISO DEL MARQUES ;1;492;44230;1;2
BANCOS;0081;BANCO DE SABADELL, S.A.;12;Castellón;138;VINARÒS ;1;536;48240;0;0
BANCOS;0128;BANKINTER, S.A.;12;Castellón;138;VINARÒS ;1;581;52310;1;3
COOPERATIVAS DE CREDITO;3081;EUROCAJA RURAL, S.C.C.;46;Valencia;260;VINALESA ;1;374;33650;2;2
COOPERATIVAS DE CREDITO;3190;C.R. ALBACETE, C. REAL Y CUENCA,SCC;16;Cuenca;274;VILLORA ;1;359;32330;3;6
COOPERATIVAS DE CREDITO;3159;CAIXA POPULAR-CAIXA RURAL, S.C.C.V.;03;Alicante;140;VILLENA ;1;527;47440;3;9
COOPERATIVAS DE CREDITO;3005;CAJA R. CENTRAL, S.C.C.;03;Alicante;140;VILLENA ;1;696;62650;3;3
COOPERATIVAS DE CREDITO;3081;EUROCAJA RURAL, S.C.C.;03;Alicante;140;VILLENA ;1;411;36990;0;0
BANCOS;0081;BANCO DE SABADELL, S.A.;28;Madrid;181;VILLAVICIOSA DE ODON ;1;452;40630;0;0
BANCOS;2095;KUTXABANK, S.A;28;Madrid;181;VILLAVICIOSA DE ODON ;1;328;29530;1;1
COOPERATIVAS DE CREDITO;3081;EUROCAJA RURAL, S.C.C.;02;Albacete;084;VILLAVERDE DE GUADALIMAR ;1;312;28110;3;9
COOPERATIVAS DE CREDITO;3190;C.R. ALBACETE, C. REAL Y CUENCA,SCC;02;Albacete;083;VILLAVALIENTE ;1;598;53820;1;1
BANCOS;2100;CAIXABANK, S.A.;09;Burgos;410;VALLE DE MENA ;1;667;60010;2;2
COOPERATIVAS DE CREDITO;3190;C.R. ALBACETE, C. REAL Y CUENCA,SCC;13;Ciudad Real;097;VILLARTA DE SAN JUAN ;1;313;28210;0;0
COOPERATIVAS DE CREDITO;3081;EUROCAJA RURAL, S.C.C.;13;Ciudad Real;096;VILLARRUBIA DE LOS OJOS ;1;497;44690;0;0
COOPERATIVAS DE CREDITO;3187;CAJA R. DEL SUR, S. COOP. CREDITO;14;Córdoba;021;CORDOBA ;1;395;35510;4;8
BANCOS;0237;CAJASUR BANCO, S.A.;14;Córdoba;021;CORDOBA ;1;339;30480;3;0
COOPERATIVAS DE CREDITO;3190;C.R. ALBACETE, C. REAL Y CUENCA,SCC;13;Ciudad Real;096;VILLARRUBIA DE LOS OJOS ;1;564;50720;1;0
BANCOS;2103;UNICAJA BANCO, S.A.;02;Albacete;081;VILLARROBLEDO ;1;713;64150;0;0
COOPERATIVAS DE CREDITO;3081;EUROCAJA RURAL, S.C.C.;02;Albacete;081;VILLARROBLEDO ;1;396;35620;1;0
BANCOS;2095;KUTXABANK, S.A;12;Castellón;135;VILA-REAL ;1;672;60460;4;12
BANCOS;0049;BANCO SANTANDER, S.A.;12;Castellón;135;VILA-REAL ;1;547;49240;5;10
BANCOS;0081;BANCO DE SABADELL, S.A.;12;Castellón;135;VILA-REAL ;1;681;61270;1;1
COOPERATIVAS DE CREDITO;3110;CAJA R. CATOLICO AGRARIA, S.C.C.V.;12;Castellón;135;VILA-REAL ;1;496;44600;0;0
BANCOS;0237;CAJASUR BANCO, S.A.;23;Jaén;903;VILLATORRES ;1;521;46890;0;0
COOPERATIVAS DE CREDITO;3067;C.R. DE JAEN, BARNA Y MADRID, SCC;23;Jaén;903;VILLATORRES ;1;657;59140;1;0
BANCOS;2100;CAIXABANK, S.A.;09;Burgos;903;VILLARCAYO DE MERINDAD DE CASTILLA LA VIEJA ;1;626;56310;3;3
COOPERATIVAS DE CREDITO;3190;C.R. ALBACETE, C. REAL Y CUENCA,SCC;16;Cuenca;253;VILLAR DE CAÑAS ;1;460;41370;5;0
BANCOS;0049;BANCO SANTANDER, S.A.;06;Badajoz;153;VILLANUEVA DE LA SERENA ;1;615;55320;3;3
BANCOS;2100;CAIXABANK, S.A.;41;Sevilla;099;VILLANUEVA DEL RIO Y MINAS ;1;589;53050;4;4
BANCOS;0049;BANCO SANTANDER, S.A.;28;Madrid;177;VILLANUEVA DEL PARDILLO ;1;603;54250;2;2
COOPERATIVAS DE CREDITO;3081;EUROCAJA RURAL, S.C.C.;13;Ciudad Real;093;VILLANUEVA DE LOS INFANTES ;1;674;60650;3;6
BANCOS;2100;CAIXABANK, S.A.;18;Granada;187;VILLANUEVA DE LAS TORRES ;1;417;37480;5;10
BANCOS;0078;BANCA PUEYO, S.A.;06;Badajoz;153;VILLANUEVA DE LA SERENA ;1;508;45710;1;3
COOPERATIVAS DE CREDITO;3081;EUROCAJA RURAL, S.C.C.;16;Cuenca;251;VILLANUEVA DE LA JARA ;1;529;47610;0;0
COOPERATIVAS DE CREDITO;3058;CAJAMAR CAJA RURAL, S.C.C.;29;Málaga;015;ANTEQUERA ;1;548;49280;3;6
BANCOS;2085;IBERCAJA BANCO, S.A.;28;Madrid;176;VILLANUEVA DE LA CAÑADA ;1;486;43770;5;10
COOPERATIVAS DE CREDITO;3191;CAJA RURAL DE ARAGON S.C.C.;50;Zaragoza;290;VILLANUEVA DE HUERVA ;1;514;46220;3;3
BANCOS;2100;CAIXABANK, S.A.;50;Zaragoza;288;VILLANUEVA DE GALLEGO ;1;673;60560;2;6
COOPERATIVAS DE CREDITO;3058;CAJAMAR CAJA RURAL, S.C.C.;46;Valencia;257;VILLANUEVA DE CASTELLON ;1;705;63400;4;4
BANCOS;2100;CAIXABANK, S.A.;29;Málaga;095;VILLANUEVA DE ALGAIDAS ;1;546;49120;4;8
BANCOS;0049;BANCO SANTANDER, S.A.;28;Madrid;176;VILLANUEVA DE LA CAÑADA ;1;659;59330;0;0
COOPERATIVAS DE CREDITO;3190;C.R. ALBACETE, C. REAL Y CUENCA,SCC;13;Ciudad Real;091;VILLAMAYOR DE CALATRAVA ;1;397;35690;0;0
COOPERATIVAS DE CREDITO;3191;CAJA RURAL DE ARAGON S.C.C.;50;Zaragoza;903;VILLAMAYOR DE GALLEGO ;1;524;47150;2;2
BANCOS;2085;IBERCAJA BANCO, S.A.;50;Zaragoza;297;ZARAGOZA ;1;647;58260;0;0
COOPERATIVAS DE CREDITO;3144;CAJA R. DE VILLAMALEA, S.C.C.A.;02;Albacete;079;VILLAMALEA ;1;296;26670;4;12
BANCOS;0049;BANCO SANTANDER, S.A.;45;Toledo;188;VILLALUENGA DE LA SAGRA ;1;620;55780;3;0
COOPERATIVAS DE CREDITO;3191;CAJA RURAL DE ARAGON S.C.C.;50;Zaragoza;287;VILLALENGUA ;1;320;28820;2;6
BANCOS;2103;UNICAJA BANCO, S.A.;33;Asturias;004;AVILES ;1;323;29070;0;0
COOPERATIVAS DE CREDITO;3190;C.R. ALBACETE, C. REAL Y CUENCA,SCC;16;Cuenca;246;VILLALBA DEL REY ;1;287;25850;4;0
BANCOS;0078;BANCA PUEYO, S.A.;06;Badajoz;152;VILLALBA DE LOS BARROS ;1;462;41620;2;4
COOPERATIVAS DE CREDITO;3005;CAJA R. CENTRAL, S.C.C.;03;Alicante;139;VILLAJOYOSA/VILA JOIOSA(LA) ;1;358;32250;0;0
COOPERATIVAS DE CREDITO;3081;EUROCAJA RURAL, S.C.C.;13;Ciudad Real;089;VILLAHERMOSA ;1;618;55640;0;0
COOPERATIVAS DE CREDITO;3190;C.R. ALBACETE, C. REAL Y CUENCA,SCC;13;Ciudad Real;089;VILLAHERMOSA ;1;504;45350;0;0
BANCOS;2100;CAIXABANK, S.A.;23;Jaén;903;VILLATORRES ;1;615;55350;2;0
COOPERATIVAS DE CREDITO;3081;EUROCAJA RURAL, S.C.C.;16;Cuenca;244;VILLAGARCIA DEL LLANO ;1;422;37970;4;12
BANCOS;0078;BANCA PUEYO, S.A.;06;Badajoz;015;BADAJOZ ;1;522;46930;0;0
COOPERATIVAS DE CREDITO;3187;CAJA R. DEL SUR, S. COOP. CREDITO;14;Córdoba;067;VILLAFRANCA DE CORDOBA ;1;706;63510;5;0
BANCOS;0049;BANCO SANTANDER, S.A.;24;León;209;VILLAFRANCA DEL BIERZO ;1;480;43160;2;4
BANCOS;0049;BANCO SANTANDER, S.A.;06;Badajoz;149;VILLAFRANCA DE LOS BARROS ;1;386;34770;1;1
BANCOS;2080;ABANCA CORPORACION BANCARIA, S.A.;24;León;038;CARRACEDELO ;1;650;58480;0;0
COOPERATIVAS DE CREDITO;3085;CAJA R. DE ZAMORA, C.C.;24;León;205;VILLADANGOS DEL PARAMO ;1;402;36140;4;0
COOPERATIVAS DE CREDITO;3190;C.R. ALBACETE, C. REAL Y CUENCA,SCC;16;Cuenca;242;VILLACONEJOS DE TRABAQUE ;1;420;37810;2;6
COOPERATIVAS DE CREDITO;3081;EUROCAJA RURAL, S.C.C.;28;Madrid;170;VILLACONEJOS ;1;460;41370;4;8
BANCOS;2103;UNICAJA BANCO, S.A.;45;Toledo;186;VILLA DE DON FADRIQUE (LA) ;1;623;56100;0;0
BANCOS;2080;ABANCA CORPORACION BANCARIA, S.A.;36;Pontevedra;024;LALIN ;1;500;45010;1;3
BANCOS;0081;BANCO DE SABADELL, S.A.;43;Tarragona;171;VILA-SECA ;1;315;28330;5;15
BANCOS;2080;ABANCA CORPORACION BANCARIA, S.A.;15;A Coruña;005;ARTEIXO ;1;567;51050;1;3
BANCOS;2085;IBERCAJA BANCO, S.A.;12;Castellón;135;VILA-REAL ;1;297;26680;0;0
COOPERATIVAS DE CREDITO;3025;CAIXA C. DELS ENGINYERS, S.C.C.;08;Barcelona;307;VILANOVA I LA GELTRU ;1;646;58150;5;5
BANCOS;0081;BANCO DE SABADELL, S.A.;08;Barcelona;307;VILANOVA I LA GELTRU ;2;1.424;128130;2;4
BANCOS;2100;CAIXABANK, S.A.;08;Barcelona;307;VILANOVA I LA GELTRU ;1;421;37920;0;0
BANCOS;0081;BANCO DE SABADELL, S.A.;08;Barcelona;307;VILANOVA I LA GELTRU ;1;450;40530;5;15
BANCOS;0081;BANCO DE SABADELL, S.A.;08;Barcelona;902;VILANOVA DEL VALLÈS ;1;579;52100;4;8
BANCOS;0081;BANCO DE SABADELL, S.A.;08;Barcelona;302;VILANOVA DEL CAMI ;1;617;55550;3;3
BANCOS;2080;ABANCA CORPORACION BANCARIA, S.A.;27;Lugo;027;LOURENZA ;1;717;64500;0;0
COOPERATIVAS DE CREDITO;3058;CAJAMAR CAJA RURAL, S.C.C.;46;Valencia;256;VILAMARXANT ;1;384;34560;1;2
BANCOS;2080;ABANCA CORPORACION BANCARIA, S.A.;36;Pontevedra;051;SANXENXO ;1;659;59310;2;4
BANCOS;2080;ABANCA CORPORACION BANCARIA, S.A.;36;Pontevedra;060;VILAGARCIA DE AROUSA ;3;2.142;192740;6;7
BANCOS;0049;BANCO SANTANDER, S.A.;08;Barcelona;305;VILAFRANCA DEL PENEDÈS ;2;1.098;98850;3;6
BANCOS;0081;BANCO DE SABADELL, S.A.;08;Barcelona;161;PIERA ;1;505;45470;4;12
BANCOS;0081;BANCO DE SABADELL, S.A.;08;Barcelona;305;VILAFRANCA DEL PENEDÈS ;1;291;26150;4;8
BANCOS;0081;BANCO DE SABADELL, S.A.;08;Barcelona;305;VILAFRANCA DEL PENEDÈS ;1;589;53020;2;4
BANCOS;2100;CAIXABANK, S.A.;08;Barcelona;305;VILAFRANCA DEL PENEDÈS ;1;578;51980;0;0
BANCOS;0049;BANCO SANTANDER, S.A.;08;Barcelona;200;SANT BOI DE LLOBREGAT ;1;621;55860;5;5
BANCOS;0081;BANCO DE SABADELL, S.A.;08;Barcelona;301;VILADECANS ;1;317;28550;1;1
BANCOS;2080;ABANCA CORPORACION BANCARIA, S.A.;15;A Coruña;031;CULLEREDO ;1;545;49030;2;2
BANCOS;2080;ABANCA CORPORACION BANCARIA, S.A.;36;Pontevedra;057;VIGO ;1;297;26750;2;4
COOPERATIVAS DE CREDITO;3070;CAIXA R. GALEGA, S.C.C.L.G.;36;Pontevedra;057;VIGO ;1;320;28800;4;4
BANCOS;1490;SINGULAR BANK, S.A.;36;Pontevedra;057;VIGO ;1;624;56190;1;3
BANCOS;0049;BANCO SANTANDER, S.A.;36;Pontevedra;057;VIGO ;2;1.040;93620;2;0
BANCOS;0081;BANCO DE SABADELL, S.A.;36;Pontevedra;057;VIGO ;1;441;39720;5;0
BANCOS;0083;RENTA 4 BANCO, S.A.;36;Pontevedra;057;VIGO ;1;465;41880;2;0
BANCOS;2100;CAIXABANK, S.A.;36;Pontevedra;057;VIGO ;2;1.260;113430;0;0
COOPERATIVAS DE CREDITO;3058;CAJAMAR CAJA RURAL, S.C.C.;36;Pontevedra;057;VIGO ;1;364;32790;5;0
BANCOS;0081;BANCO DE SABADELL, S.A.;25;Lleida;243;VIELHA E MIJARAN ;1;678;61030;2;2
BANCOS;0049;BANCO SANTANDER, S.A.;25;Lleida;243;VIELHA E MIJARAN ;1;524;47180;5;0
BANCOS;0049;BANCO SANTANDER, S.A.;17;Girona;213;VIDRERES ;1;574;51700;0;0
BANCOS;2103;UNICAJA BANCO, S.A.;04;Almería;102;VICAR ;1;668;60110;5;10
COOPERATIVAS DE CREDITO;3025;CAIXA C. DELS ENGINYERS, S.C.C.;08;Barcelona;298;VIC ;1;530;47680;4;12
BANCOS;2100;CAIXABANK, S.A.;08;Barcelona;298;VIC ;1;296;26620;3;9
COOPERATIVAS DE CREDITO;3085;CAJA R. DE ZAMORA, C.C.;32;Ourense;085;VERIN ;1;680;61240;2;4
COOPERATIVAS DE CREDITO;3191;CAJA RURAL DE ARAGON S.C.C.;50;Zaragoza;280;VERA DE MONCAYO ;1;343;30880;0;0
COOPERATIVAS DE CREDITO;3023;CAJA R. DE GRANADA, S.C.C.;04;Almería;100;VERA ;1;597;53720;0;0
BANCOS;2100;CAIXABANK, S.A.;18;Granada;122;LOJA ;1;408;36740;4;0
COOPERATIVAS DE CREDITO;3067;C.R. DE JAEN, BARNA Y MADRID, SCC;23;Jaén;062;MONTIZON ;1;474;42620;3;0
COOPERATIVAS DE CREDITO;3081;EUROCAJA RURAL, S.C.C.;28;Madrid;167;VELILLA DE SAN ANTONIO ;1;330;29710;2;0
BANCOS;0081;BANCO DE SABADELL, S.A.;29;Málaga;094;VELEZ-MALAGA ;1;297;26770;1;0
BANCOS;0081;BANCO DE SABADELL, S.A.;24;León;223;VILLAREJO DE ORBIGO ;1;512;46080;1;2
BANCOS;2080;ABANCA CORPORACION BANCARIA, S.A.;24;León;223;VILLAREJO DE ORBIGO ;1;566;50930;4;8
BANCOS;2100;CAIXABANK, S.A.;24;León;223;VILLAREJO DE ORBIGO ;1;343;30890;2;2
COOPERATIVAS DE CREDITO;3085;CAJA R. DE ZAMORA, C.C.;24;León;223;VILLAREJO DE ORBIGO ;1;591;53170;0;0
BANCOS;0049;BANCO SANTANDER, S.A.;35;Las Palmas;022;SANTA LUCIA DE TIRAJANA ;1;347;31180;2;6
BANCOS;2080;ABANCA CORPORACION BANCARIA, S.A.;35;Las Palmas;022;SANTA LUCIA DE TIRAJANA ;1;597;53700;2;2
BANCOS;0081;BANCO DE SABADELL, S.A.;35;Las Palmas;022;SANTA LUCIA DE TIRAJANA ;1;693;62350;0;0
COOPERATIVAS DE CREDITO;3190;C.R. ALBACETE, C. REAL Y CUENCA,SCC;16;Cuenca;238;VARA DE REY ;1;407;36660;5;0
COOPERATIVAS DE CREDITO;3001;CAJA R. DE ALMENDRALEJO, S.C.C.;10;Cáceres;205;VALVERDE DEL FRESNO ;1;459;41310;5;15
BANCOS;0078;BANCA PUEYO, S.A.;06;Badajoz;145;VALVERDE DE MERIDA ;1;309;27760;1;3
BANCOS;0078;BANCA PUEYO, S.A.;06;Badajoz;143;VALVERDE DE LEGANES ;1;604;54330;0;0
BANCOS;2103;UNICAJA BANCO, S.A.;24;León;189;VALVERDE DE LA VIRGEN ;1;593;53330;4;4
BANCOS;2085;IBERCAJA BANCO, S.A.;26;La Rioja;047;CERVERA DEL RIO ALHAMA ;1;527;47410;2;0
BANCOS;2100;CAIXABANK, S.A.;18;Granada;183;VALOR ;1;456;41080;4;12
BANCOS;2100;CAIXABANK, S.A.;38;Sta Cruz de Tenerife;023;SAN CRISTOBAL DE LA LAGUNA ;1;285;25680;0;0
BANCOS;2100;CAIXABANK, S.A.;38;Sta Cruz de Tenerife;006;ARONA ;1;390;35050;2;4
BANCOS;2100;CAIXABANK, S.A.;22;Huesca;901;VALLE DE HECHO ;1;445;40030;2;0
BANCOS;0061;BANCA MARCH, S.A.;07;Islas Baleares;063;VALLDEMOSSA ;1;540;48630;1;0
COOPERATIVAS DE CREDITO;3085;CAJA R. DE ZAMORA, C.C.;47;Valladolid;186;VALLADOLID ;7;3.298;296770;21;10
SUCURSALES COMUNITARIAS;1491;TRIODOS BANK, N.V., S.E.;47;Valladolid;186;VALLADOLID ;1;376;33870;5;15
BANCOS;0200;ANDBANK ESPAÑA BANCA PRIVADA, S.A.;47;Valladolid;186;VALLADOLID ;1;401;36050;3;9
COOPERATIVAS DE CREDITO;3081;EUROCAJA RURAL, S.C.C.;47;Valladolid;186;VALLADOLID ;1;536;48220;3;6
BANCOS;2103;UNICAJA BANCO, S.A.;47;Valladolid;186;VALLADOLID ;1;425;38260;2;4
COOPERATIVAS DE CREDITO;3060;C.R.BURGOS,FUENT.,SEGOV.Y CASTEL.SC;47;Valladolid;186;VALLADOLID ;1;658;59180;2;4
BANCOS;0081;BANCO DE SABADELL, S.A.;47;Valladolid;186;VALLADOLID ;1;524;47130;1;2
BANCOS;2100;CAIXABANK, S.A.;47;Valladolid;186;VALLADOLID ;1;638;57370;2;2
COOPERATIVAS DE CREDITO;3016;CAJA R. DE SALAMANCA, S.C.C.;47;Valladolid;186;VALLADOLID ;2;1.233;111000;8;0
COOPERATIVAS DE CREDITO;3017;CAJA R. DE SORIA, S.C.C.;47;Valladolid;186;VALLADOLID ;1;620;55770;2;0
BANCOS;2103;UNICAJA BANCO, S.A.;16;Cuenca;903;VALERAS (LAS) ;1;422;37940;5;0
COOPERATIVAS DE CREDITO;3190;C.R. ALBACETE, C. REAL Y CUENCA,SCC;13;Ciudad Real;088;VALENZUELA DE CALATRAVA ;1;618;55600;1;1
BANCOS;2100;CAIXABANK, S.A.;30;Murcia;017;CEHEGIN ;1;697;62750;5;0
BANCOS;0078;BANCA PUEYO, S.A.;06;Badajoz;141;VALENCIA DEL VENTOSO ;1;600;54000;1;2
BANCOS;0078;BANCA PUEYO, S.A.;06;Badajoz;139;VALENCIA DE LAS TORRES ;1;444;39940;1;1
BANCOS;2103;UNICAJA BANCO, S.A.;10;Cáceres;203;VALENCIA DE ALCANTARA ;1;367;33000;0;0
COOPERATIVAS DE CREDITO;3001;CAJA R. DE ALMENDRALEJO, S.C.C.;10;Cáceres;203;VALENCIA DE ALCANTARA ;1;525;47270;4;4
COOPERATIVAS DE CREDITO;3081;EUROCAJA RURAL, S.C.C.;46;Valencia;250;VALÈNCIA ;3;1.556;140010;1;4
BANCOS;2100;CAIXABANK, S.A.;46;Valencia;250;VALÈNCIA ;5;2.307;207580;20;21
BANCOS;0061;BANCA MARCH, S.A.;46;Valencia;250;VALÈNCIA ;1;718;64580;5;15
COOPERATIVAS DE CREDITO;3058;CAJAMAR CAJA RURAL, S.C.C.;46;Valencia;250;VALÈNCIA ;1;343;30910;4;12
BANCOS;0049;BANCO SANTANDER, S.A.;46;Valencia;250;VALÈNCIA ;1;571;51410;3;9
BANCOS;0235;BANCO PICHINCHA ESPAÑA, S.A.;46;Valencia;250;VALÈNCIA ;1;456;41070;3;9
BANCOS;0200;ANDBANK ESPAÑA BANCA PRIVADA, S.A.;46;Valencia;250;VALÈNCIA ;1;603;54280;4;8
BANCOS;0186;BANCO MEDIOLANUM, S.A.;46;Valencia;250;VALÈNCIA ;1;405;36480;5;5
COOPERATIVAS DE CREDITO;3025;CAIXA C. DELS ENGINYERS, S.C.C.;46;Valencia;250;VALÈNCIA ;1;613;55130;1;3
BANCOS;2095;KUTXABANK, S.A;46;Valencia;250;VALÈNCIA ;1;483;43500;2;2
COOPERATIVAS DE CREDITO;3159;CAIXA POPULAR-CAIXA RURAL, S.C.C.V.;46;Valencia;250;VALÈNCIA ;6;3.718;334590;2;2
BANCOS;0188;BANCO ALCALA, S.A.;46;Valencia;250;VALÈNCIA ;1;404;36330;0;0
BANCOS;1490;SINGULAR BANK, S.A.;46;Valencia;250;VALÈNCIA ;1;564;50730;0;0
CAJAS DE AHORRO;2045;CAJA DE AHORROS Y M.P. ONTINYENT;46;Valencia;250;VALÈNCIA ;2;1.332;119890;2;0
COOPERATIVAS DE CREDITO;3190;C.R. ALBACETE, C. REAL Y CUENCA,SCC;46;Valencia;250;VALÈNCIA ;1;614;55240;5;0
SUCURSALES COMUNITARIAS;1545;CA INDOSUEZ WEALTH (EUROPE), S.E.;46;Valencia;250;VALÈNCIA ;1;598;53840;0;0
COOPERATIVAS DE CREDITO;3001;CAJA R. DE ALMENDRALEJO, S.C.C.;06;Badajoz;153;VILLANUEVA DE LA SERENA ;1;516;46470;4;8
COOPERATIVAS DE CREDITO;3080;CAJA R. DE TERUEL, S.C.C.;44;Teruel;245;VALDELTORMO ;1;383;34480;0;0
BANCOS;2100;CAIXABANK, S.A.;18;Granada;914;VALDERRUBIO ;1;419;37680;4;0
COOPERATIVAS DE CREDITO;3085;CAJA R. DE ZAMORA, C.C.;24;León;181;VALDERAS ;1;308;27680;3;3
COOPERATIVAS DE CREDITO;3190;C.R. ALBACETE, C. REAL Y CUENCA,SCC;13;Ciudad Real;087;VALDEPEÑAS ;1;415;37310;2;4
BANCOS;2100;CAIXABANK, S.A.;21;Huelva;025;CORTEGANA ;1;338;30410;1;0
